Date,Infected,binary_score (1:good   0: bad)
2021-02-04,2574.0,0.0
2021-02-05,2371.0,1.0
2021-02-05,2371.0,1.0
2021-02-05,2371.0,1.0
2021-02-05,2371.0,1.0
2021-02-05,2371.0,1.0
2021-02-05,2371.0,0.0
2021-02-05,2371.0,1.0
2021-02-06,2277.0,1.0
2021-02-06,2277.0,1.0
2021-02-06,2277.0,0.0
2021-02-07,1627.0,1.0
2021-02-07,1627.0,0.0
2021-02-08,1215.0,1.0
2021-02-08,1215.0,0.0
2021-02-09,1568.0,1.0
2021-02-09,1568.0,1.0
2021-02-10,1885.0,0.0
2021-02-10,1885.0,1.0
2021-02-10,1885.0,1.0
2021-02-10,1885.0,1.0
2021-02-10,1885.0,1.0
2021-02-10,1885.0,0.0
2021-02-11,1689.0,1.0
2021-02-11,1689.0,1.0
2021-02-11,1689.0,0.0
2021-02-12,1297.0,1.0
2021-02-12,1297.0,1.0
2021-02-12,1297.0,0.0
2021-02-13,1355.0,1.0
2021-02-13,1355.0,1.0
2021-02-13,1355.0,1.0
2021-02-13,1355.0,0.0
2021-02-14,1360.0,1.0
2021-02-14,1360.0,0.0
2021-02-14,1360.0,1.0
2021-02-14,1360.0,0.0
2021-02-15,964.0,0.0
2021-02-15,964.0,1.0
2021-02-15,964.0,0.0
2021-02-15,964.0,1.0
2021-02-16,1305.0,1.0
2021-02-16,1305.0,0.0
2021-02-17,1443.0,0.0
2021-02-17,1443.0,0.0
2021-02-18,1540.0,0.0
2021-02-18,1540.0,0.0
2021-02-18,1540.0,1.0
2021-02-19,1297.0,0.0
2021-02-19,1297.0,1.0
2021-02-19,1297.0,1.0
2021-02-19,1297.0,0.0
2021-02-19,1297.0,1.0
2021-02-20,1228.0,0.0
2021-02-21,1029.0,1.0
2021-02-21,1029.0,0.0
2021-02-21,1029.0,0.0
2021-02-21,1029.0,0.0
2021-02-22,739.0,0.0
2021-02-22,739.0,1.0
2021-02-22,739.0,0.0
2021-02-23,1078.0,0.0
2021-02-23,1078.0,1.0
2021-02-23,1078.0,0.0
2021-02-23,1078.0,0.0
2021-02-24,923.0,0.0
2021-02-25,1064.0,0.0
2021-02-25,1064.0,1.0
2021-02-25,1064.0,0.0
2021-02-26,1057.0,0.0
2021-02-26,1057.0,0.0
2021-02-26,1057.0,0.0
2021-02-26,1057.0,0.0
2021-02-26,1057.0,0.0
2021-02-27,1208.0,1.0
2021-02-27,1208.0,0.0
2021-02-27,1208.0,0.0
2021-02-27,1208.0,1.0
2021-02-27,1208.0,1.0
2021-02-28,994.0,0.0
2021-02-28,994.0,0.0
2021-02-28,994.0,0.0
2021-03-01,684.0,0.0
2021-03-02,887.0,0.0
2021-03-02,887.0,0.0
2021-03-02,887.0,0.0
2021-03-02,887.0,0.0
2021-03-02,887.0,0.0
2021-03-03,1240.0,0.0
2021-03-03,1240.0,1.0
2021-03-03,1240.0,0.0
2021-03-04,1168.0,0.0
2021-03-04,1168.0,0.0
2021-03-05,1145.0,0.0
2021-03-05,1145.0,0.0
2021-03-05,1145.0,0.0
2021-03-06,1045.0,1.0
2021-03-06,1045.0,0.0
2021-03-06,1045.0,0.0
2021-03-07,1061.0,1.0
2021-03-07,1061.0,0.0
2021-03-08,599.0,1.0
2021-03-08,599.0,0.0
2021-03-09,1125.0,1.0
2021-03-09,1125.0,0.0
2021-03-09,1125.0,1.0
2021-03-09,1125.0,0.0
2021-03-10,1309.0,0.0
2021-03-10,1309.0,0.0
2021-03-11,1315.0,0.0
2021-03-11,1315.0,0.0
2021-03-11,1315.0,0.0
2021-03-12,1268.0,0.0
2021-03-12,1268.0,1.0
2021-03-12,1268.0,0.0
2021-03-13,1317.0,0.0
2021-03-13,1317.0,0.0
2021-03-14,982.0,0.0
2021-03-14,982.0,0.0
2021-03-15,688.0,0.0
2021-03-15,688.0,0.0
2021-03-16,1130.0,0.0
2021-03-16,1130.0,0.0
2021-03-16,1130.0,0.0
2021-03-16,1130.0,0.0
2021-03-17,1520.0,0.0
2021-03-17,1520.0,1.0
2021-03-17,1520.0,0.0
2021-03-17,1520.0,0.0
2021-03-17,1520.0,0.0
2021-03-18,1492.0,0.0
2021-03-18,1492.0,0.0
2021-03-18,1492.0,0.0
2021-03-19,1453.0,0.0
2021-03-19,1453.0,1.0
2021-03-19,1453.0,1.0
2021-03-19,1453.0,0.0
2021-03-20,1517.0,0.0
2021-03-20,1517.0,0.0
2021-03-21,1110.0,0.0
2021-03-21,1110.0,0.0
2021-03-22,817.0,1.0
2021-03-22,817.0,0.0
2021-03-22,817.0,0.0
2021-03-23,1485.0,0.0
2021-03-23,1485.0,0.0
2021-03-23,1485.0,0.0
2021-03-23,1485.0,1.0
2021-03-24,1924.0,0.0
2021-03-24,1924.0,0.0
2021-03-24,1924.0,0.0
2021-03-25,1914.0,0.0
2021-03-25,1914.0,0.0
2021-03-25,1914.0,0.0
2021-03-26,2030.0,0.0
2021-03-26,2030.0,0.0
2021-03-27,2073.0,0.0
2021-03-27,2073.0,0.0
2021-03-28,1753.0,0.0
2021-03-28,1753.0,0.0
2021-03-29,1340.0,1.0
2021-03-29,1340.0,0.0
2021-03-29,1340.0,1.0
2021-03-29,1340.0,0.0
2021-03-30,2077.0,0.0
2021-03-30,2077.0,0.0
2021-03-31,2832.0,0.0
2021-03-31,2832.0,0.0
2021-03-31,2832.0,0.0
2021-04-01,2598.0,0.0
2021-04-01,2598.0,0.0
2021-04-01,2598.0,0.0
2021-04-01,2598.0,0.0
2021-04-02,2745.0,0.0
2021-04-02,2745.0,1.0
2021-04-02,2745.0,0.0
2021-04-02,2745.0,0.0
2021-04-02,2745.0,0.0
2021-04-03,2755.0,0.0
2021-04-03,2755.0,1.0
2021-04-03,2755.0,0.0
2021-04-03,2755.0,0.0
2021-04-04,2460.0,0.0
2021-04-04,2460.0,0.0
2021-04-04,2460.0,0.0
2021-04-05,1554.0,1.0
2021-04-05,1554.0,0.0
2021-04-05,1554.0,0.0
2021-04-05,1554.0,0.0
2021-04-05,1554.0,0.0
2021-04-06,2654.0,0.0
2021-04-06,2654.0,0.0
2021-04-07,3460.0,1.0
2021-04-07,3460.0,1.0
2021-04-07,3460.0,1.0
2021-04-07,3460.0,0.0
2021-04-07,3460.0,0.0
2021-04-07,3460.0,0.0
2021-04-08,3457.0,0.0
2021-04-08,3457.0,1.0
2021-04-08,3457.0,0.0
2021-04-08,3457.0,0.0
2021-04-08,3457.0,0.0
2021-04-08,3457.0,0.0
2021-04-09,3511.0,1.0
2021-04-09,3511.0,0.0
2021-04-09,3511.0,1.0
2021-04-09,3511.0,0.0
2021-04-10,3742.0,0.0
2021-04-10,3742.0,0.0
2021-04-10,3742.0,0.0
2021-04-11,2848.0,0.0
2021-04-11,2848.0,0.0
2021-04-11,2848.0,0.0
2021-04-12,2098.0,0.0
2021-04-12,2098.0,0.0
2021-04-12,2098.0,0.0
2021-04-13,3444.0,0.0
2021-04-13,3444.0,0.0
2021-04-13,3444.0,0.0
2021-04-13,3444.0,0.0
2021-04-14,4302.0,0.0
2021-04-14,4302.0,0.0
2021-04-14,4302.0,1.0
2021-04-14,4302.0,0.0
2021-04-14,4302.0,0.0
2021-04-15,4570.0,0.0
2021-04-15,4570.0,0.0
2021-04-15,4570.0,0.0
2021-04-15,4570.0,1.0
2021-04-15,4570.0,0.0
2021-04-16,4519.0,0.0
2021-04-16,4519.0,1.0
2021-04-16,4519.0,0.0
2021-04-16,4519.0,0.0
2021-04-16,4519.0,0.0
2021-04-16,4519.0,1.0
2021-04-17,4791.0,0.0
2021-04-17,4791.0,0.0
2021-04-17,4791.0,0.0
2021-04-17,4791.0,0.0
2021-04-18,4089.0,0.0
2021-04-18,4089.0,0.0
2021-04-18,4089.0,1.0
2021-04-18,4089.0,0.0
2021-04-18,4089.0,1.0
2021-04-19,2892.0,0.0
2021-04-19,2892.0,0.0
2021-04-19,2892.0,0.0
2021-04-19,2892.0,0.0
2021-04-19,2892.0,0.0
2021-04-19,2892.0,0.0
2021-04-20,4328.0,0.0
2021-04-20,4328.0,0.0
2021-04-20,4328.0,0.0
2021-04-21,5280.0,0.0
2021-04-21,5280.0,0.0
2021-04-21,5280.0,0.0
2021-04-21,5280.0,0.0
2021-04-21,5280.0,1.0
2021-04-21,5280.0,0.0
2021-04-21,5280.0,0.0
2021-04-22,5474.0,0.0
2021-04-22,5474.0,1.0
2021-04-22,5474.0,1.0
2021-04-22,5474.0,0.0
2021-04-22,5474.0,0.0
2021-04-22,5474.0,0.0
2021-04-23,5119.0,0.0
2021-04-23,5119.0,0.0
2021-04-23,5119.0,0.0
2021-04-23,5119.0,0.0
2021-04-23,5119.0,0.0
2021-04-23,5119.0,0.0
2021-04-24,5602.0,0.0
2021-04-24,5602.0,0.0
2021-04-24,5602.0,0.0
2021-04-24,5602.0,0.0
2021-04-25,4604.0,0.0
2021-04-25,4604.0,0.0
2021-04-25,4604.0,0.0
2021-04-25,4604.0,0.0
2021-04-26,3303.0,0.0
2021-04-26,3303.0,0.0
2021-04-26,3303.0,0.0
2021-04-26,3303.0,1.0
2021-04-26,3303.0,0.0
2021-04-27,4958.0,0.0
2021-04-27,4958.0,0.0
2021-04-27,4958.0,1.0
2021-04-27,4958.0,0.0
2021-04-27,4958.0,0.0
2021-04-27,4958.0,0.0
2021-04-27,4958.0,0.0
2021-04-28,5788.0,1.0
2021-04-28,5788.0,0.0
2021-04-28,5788.0,0.0
2021-04-28,5788.0,0.0
2021-04-29,5895.0,0.0
2021-04-29,5895.0,0.0
2021-04-29,5895.0,0.0
2021-04-29,5895.0,0.0
2021-04-30,4658.0,0.0
2021-04-30,4658.0,1.0
2021-04-30,4658.0,0.0
2021-04-30,4658.0,0.0
2021-04-30,4658.0,0.0
2021-04-30,4658.0,0.0
2021-04-30,4658.0,0.0
2021-05-01,5990.0,0.0
2021-05-01,5990.0,0.0
2021-05-01,5990.0,0.0
2021-05-01,5990.0,0.0
2021-05-01,5990.0,0.0
2021-05-02,5882.0,0.0
2021-05-02,5882.0,0.0
2021-05-02,5882.0,0.0
2021-05-02,5882.0,0.0
2021-05-03,4458.0,0.0
2021-05-03,4458.0,0.0
2021-05-03,4458.0,0.0
2021-05-03,4458.0,0.0
2021-05-03,4458.0,0.0
2021-05-04,4199.0,1.0
2021-05-04,4199.0,0.0
2021-05-04,4199.0,0.0
2021-05-04,4199.0,1.0
2021-05-04,4199.0,1.0
2021-05-04,4199.0,0.0
2021-05-05,4055.0,0.0
2021-05-05,4055.0,1.0
2021-05-05,4055.0,0.0
2021-05-05,4055.0,0.0
2021-05-06,4352.0,0.0
2021-05-06,4352.0,0.0
2021-05-06,4352.0,1.0
2021-05-06,4352.0,1.0
2021-05-06,4352.0,1.0
2021-05-06,4352.0,0.0
2021-05-07,6032.0,0.0
2021-05-07,6032.0,0.0
2021-05-07,6032.0,0.0
2021-05-07,6032.0,0.0
2021-05-07,6032.0,0.0
2021-05-07,6032.0,0.0
2021-05-08,7239.0,0.0
