,Infected,score,infected_scaled,score_scaled
2020-11-02,480.0,4.0,0.01029560876686686,0.01
2020-11-02,480.0,4.0,0.01029560876686686,0.01
2020-11-02,480.0,3.0,0.01029560876686686,0.00875
2020-11-02,480.0,-4.0,0.01029560876686686,0.0
2020-11-03,860.0,0.0,0.025115045628266122,0.005
2020-11-03,860.0,0.0,0.025115045628266122,0.005
2020-11-04,606.0,-3.0,0.015209422041962406,0.00125
2020-11-04,606.0,0.0,0.015209422041962406,0.005
2020-11-05,1046.0,-2.0,0.0323687699867405,0.0025
2020-11-05,1046.0,4.0,0.0323687699867405,0.01
2020-11-05,1046.0,-4.0,0.0323687699867405,0.0
2020-11-06,1137.0,-3.0,0.035917635129865066,0.00125
2020-11-06,1137.0,-3.0,0.035917635129865066,0.00125
2020-11-07,1301.0,-3.0,0.042313392091100535,0.00125
2020-11-07,1301.0,0.0,0.042313392091100535,0.005
2020-11-07,1301.0,-4.0,0.042313392091100535,0.0
2020-11-08,934.0,-1.0,0.02800093596443335,0.00375
2020-11-08,934.0,0.0,0.02800093596443335,0.005
2020-11-09,770.0,-1.0,0.021605179003197878,0.00375
2020-11-09,770.0,0.0,0.021605179003197878,0.005
2020-11-09,770.0,0.0,0.021605179003197878,0.005
2020-11-09,770.0,0.0,0.021605179003197878,0.005
2020-11-10,1276.0,0.0,0.04133842913969269,0.005
2020-11-10,1276.0,-3.0,0.04133842913969269,0.00125
2020-11-11,1540.0,-3.0,0.05163403790655955,0.00125
2020-11-11,1540.0,4.0,0.05163403790655955,0.01
2020-11-11,1540.0,-1.0,0.05163403790655955,0.00375
2020-11-11,1540.0,-3.0,0.05163403790655955,0.00125
2020-11-12,1624.0,-4.0,0.05490991342328991,0.0
2020-11-12,1624.0,-2.0,0.05490991342328991,0.0025
2020-11-12,1624.0,2.0,0.05490991342328991,0.0075
2020-11-12,1624.0,-4.0,0.05490991342328991,0.0
2020-11-13,1703.0,-1.0,0.05799079634973871,0.00375
2020-11-13,1703.0,-3.0,0.05799079634973871,0.00125
2020-11-13,1703.0,-2.0,0.05799079634973871,0.0025
2020-11-13,1703.0,4.0,0.05799079634973871,0.01
2020-11-13,1703.0,-4.0,0.05799079634973871,0.0
2020-11-13,1703.0,-4.0,0.05799079634973871,0.0
2020-11-14,1721.0,0.0,0.05869276967475236,0.005
2020-11-14,1721.0,-1.0,0.05869276967475236,0.00375
2020-11-15,1428.0,-2.0,0.0472662038842524,0.0025
2020-11-15,1428.0,-4.0,0.0472662038842524,0.0
2020-11-15,1428.0,-2.0,0.0472662038842524,0.0025
2020-11-16,949.0,-2.0,0.028585913735278058,0.0025
2020-11-16,949.0,-2.0,0.028585913735278058,0.0025
2020-11-17,1685.0,-2.0,0.05728882302472506,0.0025
2020-11-17,1685.0,1.0,0.05728882302472506,0.00625
